tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,0.029912184602799496,-1.4999999999999993,0.0,0.01,0.01,0.0
yellow,4.125506887317324,-2.46692117766625,0.0,0.01,0.01,0.0
yellow,7.641605682204694,-4.826064685386781,0.0,0.01,0.01,0.0
yellow,10.4421803862929,-8.00734811289775,0.0,0.01,0.01,0.0
yellow,12.727475016883762,-11.586262175453326,0.0,0.01,0.01,0.0
yellow,14.878665831962591,-15.248787025139736,0.0,0.01,0.01,0.0
yellow,17.05069467443728,-18.898943154629645,0.0,0.01,0.01,0.0
yellow,19.240110205950494,-22.538705213247905,0.0,0.01,0.01,0.0
yellow,21.14251630787792,-26.331163607230724,0.0,0.01,0.01,0.0
orange,22.61978051919608,-29.464706014406485,0.0,0.01,0.01,0.0
yellow,6.11946406942559,-28.168802356546383,0.0,0.01,0.01,0.0
orange,8.45946406942559,-31.258802356546383,0.0,0.01,0.01,0.0
yellow,3.891030547019666,-24.55277271346194,0.0,0.01,0.01,0.0
yellow,1.6333403895280478,-20.95490369996132,0.0,0.01,0.01,0.0
yellow,-0.6192349452930866,-17.353834297622573,0.0,0.01,0.01,0.0
yellow,-2.840746690832493,-13.733549602648216,0.0,0.01,0.01,0.0
yellow,-4.881143867299874,-10.010172428473336,0.0,0.01,0.01,0.0
yellow,-6.116170951569333,-5.9716819667652326,0.0,0.01,0.01,0.0
yellow,-4.037529225857333,-2.5806030906824566,0.0,0.01,0.01,0.0
blue,-3.0211029507773135e-15,1.4999999999999962,0.0,0.01,0.01,0.0
blue,4.078139482900624,0.8023863901767914,0.0,0.01,0.01,0.0
blue,7.756492220465297,-1.1171280927811063,0.0,0.01,0.01,0.0
blue,10.904922772418233,-3.823510911902346,0.0,0.01,0.01,0.0
blue,13.46161680903118,-7.099623189135108,0.0,0.01,0.01,0.0
blue,15.652291665424476,-10.635694620126786,0.0,0.01,0.01,0.0
blue,17.75571611988825,-14.225008970393029,0.0,0.01,0.01,0.0
blue,19.890514156602322,-17.795693525617466,0.0,0.01,0.01,0.0
blue,22.027379804796478,-21.36509969904096,0.0,0.01,0.01,0.0
blue,23.87703742143558,-25.087276058939,0.0,0.01,0.01,0.0
orange,25.430461370927212,-28.100055983900692,0.0,0.01,0.01,0.0
blue,4.257341989867205,-30.89136129560025,0.0,0.01,0.01,0.0
orange,5.657341989867205,-32.79136129560025,0.0,0.01,0.01,0.0
blue,2.091408976206272,-27.339460523397292,0.0,0.01,0.01,0.0
blue,-0.11409613093011528,-23.81195435338624,0.0,0.01,0.01,0.0
blue,-2.3256592030097245,-20.28823589083327,0.0,0.01,0.01,0.0
blue,-4.5163799460320195,-16.7515351397891,0.0,0.01,0.01,0.0
blue,-6.630832734431033,-13.169188488635113,0.0,0.01,0.01,0.0
blue,-8.385457136148359,-9.401780914699426,0.0,0.01,0.01,0.0
blue,-9.116386049259846,-5.333725576256438,0.0,0.01,0.01,0.0
blue,-7.576876294121668,-1.5638084963965133,0.0,0.01,0.01,0.0
blue,-4.118236776108149,0.6818769749168716,0.0,0.01,0.01,0.0
car_start,8.2,-33.40,2.1817,0.0,0.0,0.0
